lat,lon,value
57.032173,9.923038,0.0024564869773713157
57.032173,9.933038,0.002463298690305707
57.032173,9.943038,0.00246936940165938
57.032173,9.953038,0.0024746935455712956
57.032173,9.963038,0.0024792662331041397
57.032173,9.973038,0.002483083259725659
57.032173,9.983038,0.0024861411117513316
57.032173,9.993038,0.002488436971734548
57.032173,10.003038,0.0024899687227927353
57.032173,10.013038,0.0024907349518601164
57.032173,10.023038,0.0024907349518601164
57.032173,10.033038,0.0024899687227927353
57.032173,10.043038,0.002488436971734548
57.032173,10.053038,0.0024861411117513316
57.032173,10.063038,0.002483083259725659
57.032173,10.073038,0.0024792662331041397
57.032173,10.083038,0.0024746935455712956
57.032173,10.093038,0.00246936940165938
57.032173,10.103038,0.002463298690305707
57.032173,10.113038,0.0024564869773713157
57.042173,9.923038,0.002463298690305707
57.042173,9.933038,0.0024701292917721886
57.042173,9.943038,0.0024762168368984115
57.042173,9.953038,0.0024815557443894883
57.042173,9.963038,0.0024861411117513316
57.042173,9.973038,0.0024899687227927353
57.042173,9.983038,0.002493035054085909
57.042173,9.993038,0.002495337280371609
57.042173,10.003038,0.002496873278897253
57.042173,10.013038,0.0024976416326787064
57.042173,10.023038,0.0024976416326787064
57.042173,10.033038,0.002496873278897253
57.042173,10.043038,0.002495337280371609
57.042173,10.053038,0.002493035054085909
57.042173,10.063038,0.0024899687227927353
57.042173,10.073038,0.0024861411117513316
57.042173,10.083038,0.0024815557443894883
57.042173,10.093038,0.0024762168368984115
57.042173,10.103038,0.0024701292917721886
57.042173,10.113038,0.002463298690305707
57.052173,9.923038,0.00246936940165938
57.052173,9.933038,0.0024762168368984115
57.052173,9.943038,0.00248231938456146
57.052173,9.953038,0.0024876714495987366
57.052173,9.963038,0.0024922681174341338
57.052173,9.973038,0.0024961051614857924
57.052173,9.983038,0.0024991790496425607
57.052173,9.993038,0.002501486949682445
57.052173,10.003038,0.0025030267336214156
57.052173,10.013038,0.00250379698098323
57.052173,10.023038,0.00250379698098323
57.052173,10.033038,0.0025030267336214156
57.052173,10.043038,0.002501486949682445
57.052173,10.053038,0.0024991790496425607
57.052173,10.063038,0.0024961051614857924
57.052173,10.073038,0.0024922681174341338
57.052173,10.083038,0.0024876714495987366
57.052173,10.093038,0.00248231938456146
57.052173,10.103038,0.0024762168368984115
57.052173,10.113038,0.00246936940165938
57.062173,9.923038,0.0024746935455712956
57.062173,9.933038,0.0024815557443894883
57.062173,9.943038,0.0024876714495987366
57.062173,9.953038,0.002493035054085909
57.062173,9.963038,0.0024976416326787064
57.062173,9.973038,0.002501486949682445
57.062173,9.983038,0.002504567465370479
57.062173,9.993038,0.002506880341414333
57.062173,10.003038,0.002508423445241887
57.062173,10.013038,0.0025091953533142456
57.062173,10.023038,0.0025091953533142456
57.062173,10.033038,0.002508423445241887
57.062173,10.043038,0.002506880341414333
57.062173,10.053038,0.002504567465370479
57.062173,10.063038,0.002501486949682445
57.062173,10.073038,0.0024976416326787064
57.062173,10.083038,0.002493035054085909
57.062173,10.093038,0.0024876714495987366
57.062173,10.103038,0.0024815557443894883
57.062173,10.113038,0.0024746935455712956
57.072173,9.923038,0.0024792662331041397
57.072173,9.933038,0.0024861411117513316
57.072173,9.943038,0.0024922681174341338
57.072173,9.953038,0.0024976416326787064
57.072173,9.963038,0.0025022567232121182
57.072173,9.973038,0.002506109145513058
57.072173,9.983038,0.0025091953533142456
57.072173,9.993038,0.0025115125030426007
57.072173,10.003038,0.0025130584581854807
